Env,Date,QV2M,T2MDEW,PS,RH2M,WS2M,GWETTOP,ALLSKY_SFC_SW_DWN,ALLSKY_SFC_PAR_TOT,T2M_MAX,T2M_MIN,T2MWET,GWETROOT,T2M,GWETPROF,ALLSKY_SFC_SW_DNI,PRECTOTCORR
ARH1_2016,20160218,6.04,6.48,101.82,79.25,3.74,0.84,17.93,90.57,18.8,1.98,8.38,0.84,10.28,0.81,31.06,0.0
ARH1_2016,20160219,8.85,12.11,101.4,85.62,4.28,0.84,14.08,73.2,21.21,8.12,13.4,0.83,14.69,0.8,17.08,0.0
ARH1_2016,20160220,10.8,15.37,101.18,88.19,4.1,0.84,7.44,41.42,21.32,15.27,16.37,0.83,17.38,0.8,2.83,0.0
ARH1_2016,20160221,11.6,16.37,100.93,91.56,2.97,0.84,6.69,38.01,20.96,15.23,17.08,0.83,17.79,0.8,2.54,2.22
ARH1_2016,20160222,6.59,7.87,100.81,85.81,4.18,0.84,5.03,29.03,13.95,8.12,9.02,0.83,10.17,0.8,2.07,3.87
ARH1_2016,20160223,7.32,8.98,99.6,93.0,4.04,0.88,4.39,25.13,13.7,6.83,9.55,0.84,10.11,0.81,1.84,22.04
ARH1_2016,20160224,4.39,2.03,100.13,79.0,6.03,0.87,6.18,34.16,9.79,2.28,3.79,0.86,5.55,0.83,2.88,2.83
ARH1_2016,20160225,3.85,0.45,101.59,76.12,3.27,0.85,16.01,79.86,10.26,-0.3,2.59,0.85,4.74,0.83,20.89,0.0
ARH1_2016,20160226,3.72,-0.11,102.13,73.5,1.82,0.85,19.48,95.86,11.3,-1.76,2.27,0.85,4.66,0.82,32.32,0.0
ARH1_2016,20160227,4.82,3.27,101.64,72.25,2.54,0.84,20.05,99.39,17.99,-0.02,5.92,0.84,8.57,0.82,35.15,0.0
ARH1_2016,20160228,6.84,8.19,101.08,78.62,4.56,0.84,19.71,98.82,19.13,4.69,10.19,0.84,12.19,0.81,31.66,0.0
ARH1_2016,20160229,7.69,10.01,101.14,78.38,1.99,0.84,18.2,92.45,20.61,7.08,12.03,0.84,14.05,0.8,24.66,0.01
ARH1_2016,20160301,8.18,10.44,100.88,84.44,4.16,0.86,5.41,30.59,18.84,5.35,11.77,0.84,13.1,0.81,4.29,10.3
ARH1_2016,20160302,4.46,2.24,101.53,75.56,1.72,0.84,17.96,90.35,12.53,0.33,4.49,0.84,6.74,0.81,23.19,0.0
ARH1_2016,20160303,6.84,8.31,100.66,86.88,2.45,0.86,7.09,39.36,16.05,6.61,9.4,0.84,10.49,0.82,4.23,7.02
ARH1_2016,20160304,5.8,6.12,101.48,81.5,1.5,0.84,17.06,85.88,15.4,3.63,7.68,0.84,9.24,0.81,20.49,0.0
ARH1_2016,20160305,6.16,6.92,101.56,76.12,2.11,0.84,20.71,104.37,20.31,3.81,9.13,0.84,11.34,0.81,32.93,0.0
ARH1_2016,20160306,6.41,7.41,101.51,74.25,2.67,0.84,20.29,101.29,20.7,4.51,9.94,0.83,12.48,0.8,27.38,0.0
ARH1_2016,20160307,8.3,11.33,101.05,81.06,4.32,0.83,14.27,75.06,19.45,9.41,13.03,0.83,14.73,0.8,7.76,0.0
ARH1_2016,20160308,10.68,15.08,100.8,83.88,5.3,0.84,15.15,80.73,23.97,13.83,16.54,0.82,17.99,0.8,12.43,9.84
ARH1_2016,20160309,12.15,17.05,100.64,95.12,3.34,0.97,2.19,13.36,20.8,15.41,17.44,0.88,17.82,0.84,1.28,95.26
ARH1_2016,20160310,12.51,17.48,100.82,95.25,2.38,0.95,2.1,12.96,21.23,13.99,17.88,0.95,18.3,0.9,1.21,44.37
ARH1_2016,20160311,10.13,14.23,101.29,95.5,2.94,0.94,5.53,32.9,18.19,13.3,14.64,0.96,15.05,0.91,2.37,10.49
ARH1_2016,20160312,11.23,15.9,100.78,93.06,1.86,0.94,7.79,44.64,20.08,14.33,16.48,0.96,17.04,0.92,2.82,19.44
ARH1_2016,20160313,11.17,15.72,100.18,87.69,3.12,0.94,12.33,66.52,22.04,13.04,16.8,0.96,17.89,0.93,9.9,11.45
ARH1_2016,20160314,10.74,15.14,100.11,85.5,2.73,0.94,21.52,111.14,22.47,13.78,16.44,0.97,17.76,0.94,31.24,6.79
ARH1_2016,20160315,13.37,18.33,99.95,87.38,4.68,0.92,21.45,110.62,26.17,15.18,19.47,0.96,20.59,0.93,30.05,0.0
ARH1_2016,20160316,6.9,8.46,100.92,65.56,1.77,0.91,22.54,112.58,21.19,9.68,11.99,0.95,15.52,0.92,31.9,0.0
ARH1_2016,20160317,6.65,8.04,100.99,72.94,2.55,0.91,12.6,67.02,20.74,7.38,10.7,0.95,13.37,0.91,10.47,0.81
ARH1_2016,20160318,8.67,11.77,100.63,87.0,3.02,0.91,15.96,84.6,19.14,10.08,12.88,0.95,14.0,0.91,11.9,2.01
ARH1_2016,20160319,5.0,3.98,101.31,75.44,4.4,0.91,15.16,77.89,12.94,4.23,6.15,0.94,8.33,0.91,14.03,0.13
ARH1_2016,20160320,3.78,0.25,101.8,74.12,3.42,0.91,16.98,86.32,8.82,0.76,2.55,0.93,4.85,0.9,18.54,0.02
ARH1_2016,20160321,4.33,1.86,102.03,73.12,1.94,0.9,23.25,114.66,14.32,-1.18,4.37,0.93,6.9,0.9,33.73,0.0
ARH1_2016,20160322,6.59,7.59,101.25,78.19,5.21,0.9,24.12,120.18,18.26,3.73,9.58,0.92,11.58,0.89,34.7,0.0
ARH1_2016,20160323,9.89,13.76,100.64,81.5,6.16,0.89,10.09,56.44,21.97,11.34,15.4,0.91,17.05,0.88,3.92,0.03
ARH1_2016,20160324,8.42,10.75,100.3,80.56,4.76,0.9,14.98,79.18,18.25,5.6,12.53,0.91,14.3,0.88,12.98,5.73
ARH1_2016,20160325,5.37,4.83,100.99,80.12,1.88,0.88,19.44,97.58,14.58,2.0,6.58,0.91,8.34,0.88,20.07,0.0
ARH1_2016,20160326,7.14,8.98,100.99,79.25,1.7,0.88,23.87,120.73,21.12,4.38,10.89,0.9,12.8,0.87,32.44,0.0
ARH1_2016,20160327,9.89,13.52,100.88,87.06,2.76,0.88,11.55,63.48,24.27,8.02,14.62,0.9,15.71,0.87,7.83,2.63
ARH1_2016,20160328,5.74,5.98,101.47,76.69,2.09,0.88,25.42,127.37,17.45,3.96,8.15,0.89,10.33,0.86,37.97,0.0
ARH1_2016,20160329,6.35,7.24,101.35,72.38,2.66,0.87,24.89,125.48,20.23,4.76,9.93,0.88,12.62,0.85,34.22,0.0
ARH1_2016,20160330,10.8,14.94,100.52,88.25,4.52,0.91,11.26,63.41,21.42,11.37,15.92,0.89,16.9,0.86,3.73,38.4
ARH1_2016,20160331,13.73,18.69,99.7,86.62,4.12,0.92,14.69,80.2,26.64,13.44,19.9,0.93,21.12,0.89,9.44,21.64
ARH1_2016,20160401,6.47,7.52,100.72,73.31,2.53,0.89,12.97,70.15,17.25,8.07,10.13,0.92,12.74,0.88,6.59,0.0
ARH1_2016,20160402,5.49,5.27,101.24,71.75,2.92,0.89,26.45,132.17,16.83,4.75,7.99,0.91,10.7,0.88,39.61,0.0
ARH1_2016,20160403,6.71,8.12,101.41,73.44,1.95,0.88,24.09,122.98,21.67,5.0,10.79,0.91,13.46,0.87,32.72,0.0
ARH1_2016,20160404,8.48,11.5,101.25,72.38,2.31,0.88,25.53,130.17,25.23,7.98,14.27,0.89,17.04,0.86,35.98,0.0
ARH1_2016,20160405,7.57,9.95,101.63,74.56,2.96,0.87,26.34,132.41,20.85,9.11,12.36,0.88,14.76,0.86,37.33,0.0
ARH1_2016,20160406,8.73,11.87,100.66,78.44,4.19,0.88,12.67,68.7,20.37,9.97,13.83,0.88,15.78,0.85,8.24,2.82
ARH1_2016,20160407,7.45,9.57,100.58,71.31,2.96,0.86,22.71,118.02,23.84,7.19,12.48,0.88,15.4,0.84,26.27,0.0
ARH1_2016,20160408,5.74,5.82,101.25,68.88,3.19,0.85,26.6,133.68,18.4,6.35,9.01,0.87,12.19,0.84,35.74,0.0
ARH1_2016,20160409,5.68,5.72,101.51,68.94,2.26,0.85,26.32,133.85,17.73,5.93,8.8,0.85,11.87,0.83,34.29,0.12
ARH1_2016,20160410,9.03,12.49,100.98,71.81,5.15,0.84,23.78,122.98,24.32,11.47,15.27,0.84,18.05,0.82,25.63,0.19
ARH1_2016,20160411,11.41,15.98,100.93,88.56,4.07,0.89,2.77,17.65,22.36,11.7,16.95,0.85,17.93,0.82,1.31,28.1
ARH1_2016,20160412,6.16,6.89,101.52,69.12,3.62,0.86,26.23,133.86,18.4,8.57,9.88,0.87,12.87,0.84,32.92,0.19
ARH1_2016,20160413,7.14,9.16,101.33,78.25,2.27,0.85,10.54,60.36,20.35,8.05,11.27,0.86,13.39,0.83,4.16,0.24
ARH1_2016,20160414,9.7,13.49,100.99,86.94,2.1,0.86,10.6,61.24,21.14,9.18,14.66,0.85,15.83,0.83,4.92,4.79
ARH1_2016,20160415,10.01,14.19,101.01,88.12,3.86,0.88,11.44,66.02,18.76,14.47,15.2,0.87,16.21,0.84,5.71,11.63
ARH1_2016,20160416,10.38,14.73,101.39,84.69,3.42,0.86,14.03,78.71,22.29,13.35,16.08,0.87,17.44,0.84,9.12,0.08
ARH1_2016,20160417,10.5,14.98,101.67,78.31,3.36,0.85,25.16,132.98,25.24,14.89,17.05,0.85,19.13,0.83,24.78,0.0
ARH1_2016,20160418,10.25,14.57,101.65,78.62,2.39,0.84,20.46,111.31,23.99,14.16,16.61,0.84,18.64,0.82,9.21,0.01
ARH1_2016,20160419,9.64,13.66,101.43,84.0,1.77,0.86,7.78,46.27,19.16,13.94,15.07,0.84,16.48,0.82,3.02,5.21
ARH1_2016,20160420,12.27,17.1,100.89,91.88,2.02,0.88,11.98,68.61,21.96,13.81,17.77,0.85,18.45,0.82,5.24,12.18
ARH1_2016,20160421,11.96,16.87,100.66,83.62,1.84,0.88,20.13,108.11,24.83,15.71,18.44,0.87,19.99,0.84,12.31,7.05
ARH1_2016,20160422,10.01,14.19,100.91,77.5,2.31,0.85,26.63,137.39,24.07,13.14,16.4,0.86,18.62,0.83,33.43,0.05
ARH1_2016,20160423,10.07,14.26,101.1,75.38,1.52,0.84,26.64,136.43,25.47,12.32,16.71,0.84,19.15,0.82,33.44,0.0
ARH1_2016,20160424,10.86,15.27,100.75,75.62,2.14,0.84,26.62,138.32,26.62,12.97,17.72,0.84,20.16,0.81,29.37,0.0
ARH1_2016,20160425,12.82,17.9,100.49,80.88,2.95,0.83,21.52,115.41,26.9,16.26,19.73,0.83,21.57,0.8,22.66,0.0
ARH1_2016,20160426,14.83,20.21,100.25,84.44,2.51,0.82,18.05,99.34,27.76,18.63,21.67,0.82,23.12,0.8,13.14,0.89
ARH1_2016,20160427,15.08,20.45,99.95,88.88,3.68,0.84,11.69,64.72,26.01,20.09,21.44,0.81,22.44,0.79,7.08,4.27
ARH1_2016,20160428,10.86,15.29,100.57,68.88,1.27,0.82,28.81,148.87,28.28,15.72,18.73,0.81,22.18,0.79,39.27,0.33
ARH1_2016,20160429,13.49,18.51,100.54,91.12,2.17,0.89,3.89,23.71,23.01,15.73,19.26,0.83,19.99,0.8,1.82,38.91
ARH1_2016,20160430,14.65,20.01,100.23,91.75,3.18,0.88,10.92,61.88,25.08,18.42,20.73,0.86,21.46,0.82,8.08,7.41
ARH1_2016,20160501,14.04,19.36,100.6,79.75,1.43,0.86,20.14,110.73,28.37,19.03,21.36,0.85,23.36,0.83,16.6,3.08
ARH1_2016,20160502,10.44,14.76,100.86,84.19,2.89,0.87,10.56,62.49,22.05,14.98,16.18,0.85,17.59,0.82,4.67,10.5
ARH1_2016,20160503,8.3,11.26,100.9,75.81,2.25,0.85,21.02,111.43,20.09,11.74,13.54,0.85,15.8,0.83,16.41,0.49
ARH1_2016,20160504,8.54,11.51,100.52,72.25,3.38,0.84,26.52,138.09,24.97,9.22,14.28,0.84,17.05,0.81,31.37,0.0
ARH1_2016,20160505,7.39,9.57,100.82,70.56,3.01,0.83,28.48,145.24,22.53,9.55,12.69,0.83,15.81,0.8,34.94,0.0
ARH1_2016,20160506,7.39,9.55,101.13,63.56,1.47,0.82,29.16,147.83,22.98,9.9,13.29,0.82,17.04,0.8,36.33,0.0
ARH1_2016,20160507,9.34,12.94,100.94,68.81,2.15,0.81,28.97,149.29,27.54,11.01,16.15,0.81,19.35,0.79,36.06,0.0
ARH1_2016,20160508,10.74,15.12,100.76,75.56,2.84,0.8,24.12,127.51,26.37,13.86,17.51,0.8,19.91,0.78,22.93,0.05
ARH1_2016,20160509,12.63,17.68,100.54,84.38,4.63,0.81,8.98,52.48,24.26,17.62,19.09,0.8,20.5,0.77,3.09,4.74
ARH1_2016,20160510,15.44,20.9,100.62,83.75,4.19,0.81,20.35,110.36,29.11,19.03,22.46,0.8,24.01,0.77,13.59,1.96
ARH1_2016,20160511,15.14,20.7,101.03,82.06,2.87,0.8,22.02,117.77,29.53,19.88,22.48,0.79,24.25,0.77,16.43,0.0
ARH1_2016,20160512,13.73,19.0,101.1,86.06,2.71,0.8,18.32,101.58,25.28,16.19,20.26,0.78,21.51,0.76,9.2,4.45
ARH1_2016,20160513,8.48,11.65,101.32,65.12,1.79,0.79,30.8,156.53,25.31,12.48,15.44,0.77,19.24,0.76,41.27,0.0
ARH1_2016,20160514,7.75,10.32,101.26,69.25,2.84,0.77,26.15,137.99,20.61,12.12,13.35,0.77,16.38,0.75,27.36,0.0
ARH1_2016,20160515,6.9,8.64,101.5,65.0,1.98,0.77,25.24,133.84,20.58,11.26,12.17,0.76,15.7,0.74,24.51,0.0
ARH1_2016,20160516,9.16,12.73,101.22,78.94,2.76,0.77,7.77,46.54,21.89,12.88,14.63,0.75,16.55,0.73,2.74,1.57
ARH1_2016,20160517,11.54,16.24,100.85,78.19,2.2,0.76,21.02,112.9,27.2,13.87,18.44,0.75,20.63,0.73,14.97,0.27
ARH1_2016,20160518,8.61,11.88,101.23,79.0,3.59,0.75,11.84,68.73,20.21,11.71,13.76,0.74,15.65,0.73,4.45,0.0
ARH1_2016,20160519,9.83,13.86,101.04,75.94,2.16,0.73,26.97,143.69,25.01,11.8,16.26,0.73,18.66,0.72,25.46,0.03
ARH1_2016,20160520,11.84,16.76,100.77,81.44,2.02,0.77,19.05,103.98,25.98,16.5,18.55,0.74,20.33,0.72,11.77,8.19
ARH1_2016,20160521,10.68,15.19,101.19,75.81,2.07,0.73,26.56,140.39,25.77,14.12,17.58,0.73,19.99,0.72,28.63,0.0
ARH1_2016,20160522,8.85,12.25,101.11,60.12,1.61,0.72,30.16,155.4,27.36,13.8,16.73,0.72,21.23,0.71,37.41,0.0
ARH1_2016,20160523,9.7,13.31,100.85,58.38,1.46,0.7,28.31,145.59,28.76,16.1,17.88,0.71,22.44,0.7,27.94,0.0
ARH1_2016,20160524,13.67,18.96,100.99,73.75,2.14,0.7,25.25,134.72,29.81,18.04,21.58,0.7,24.2,0.7,21.22,2.23
ARH1_2016,20160525,15.87,21.41,101.08,85.25,3.19,0.76,15.14,86.06,28.48,20.55,22.8,0.72,24.18,0.7,5.69,14.49
ARH1_2016,20160526,16.85,22.38,100.91,83.88,2.66,0.75,19.87,110.03,29.88,22.37,23.95,0.73,25.51,0.71,13.0,7.57
ARH1_2016,20160527,15.44,20.88,100.56,83.75,3.74,0.78,10.13,60.52,28.06,21.19,22.44,0.73,24.01,0.72,3.34,12.48
ARH1_2016,20160528,14.16,19.55,100.85,83.19,2.63,0.75,20.4,112.46,26.65,19.62,21.13,0.74,22.72,0.72,10.3,0.38
ARH1_2016,20160529,14.83,20.35,101.17,78.62,1.2,0.73,27.07,144.92,30.9,18.03,22.48,0.73,24.62,0.71,25.14,1.07
ARH1_2016,20160530,13.85,19.21,100.95,73.38,1.37,0.75,26.3,141.86,30.52,18.78,21.98,0.73,24.73,0.71,20.82,7.89
ARH1_2016,20160531,14.95,20.43,100.63,77.25,0.91,0.74,22.37,123.45,29.27,19.65,22.72,0.73,25.0,0.71,17.94,2.31
ARH1_2016,20160601,15.5,21.01,100.76,84.56,1.15,0.74,17.16,95.09,28.16,20.78,22.47,0.73,23.93,0.71,9.78,4.5
ARH1_2016,20160602,14.59,20.04,100.93,78.94,0.8,0.73,20.72,114.48,28.15,20.16,22.1,0.73,24.16,0.71,10.39,1.43
ARH1_2016,20160603,15.81,21.36,100.89,85.19,0.68,0.77,12.42,72.58,26.74,21.49,22.73,0.73,24.09,0.72,4.19,9.7
ARH1_2016,20160604,15.81,21.3,100.56,84.44,0.99,0.75,20.62,115.13,28.34,20.69,22.81,0.73,24.32,0.72,11.14,2.24
ARH1_2016,20160605,13.98,19.25,100.39,73.88,1.26,0.73,24.94,135.68,30.26,20.41,22.03,0.73,24.82,0.71,21.17,0.49
ARH1_2016,20160606,12.39,17.39,100.41,67.12,1.72,0.71,29.49,156.52,29.78,18.15,20.9,0.72,24.4,0.7,36.98,0.0
ARH1_2016,20160607,12.76,17.82,100.49,66.0,2.05,0.7,30.56,161.96,32.01,17.83,21.49,0.7,25.17,0.7,39.78,0.0
ARH1_2016,20160608,11.72,16.51,100.81,64.56,1.79,0.68,30.87,162.16,30.8,18.04,20.51,0.7,24.52,0.68,40.17,0.0
ARH1_2016,20160609,12.51,17.55,100.88,64.56,1.28,0.66,29.67,156.02,32.38,17.68,21.46,0.69,25.37,0.67,33.65,0.0
ARH1_2016,20160610,12.82,17.97,100.96,60.69,1.04,0.65,30.31,159.98,33.62,18.94,22.51,0.67,27.06,0.66,37.64,0.0
ARH1_2016,20160611,14.77,20.16,101.1,65.06,1.3,0.64,26.73,145.77,34.02,21.54,24.03,0.66,27.89,0.66,27.18,0.06
ARH1_2016,20160612,17.7,23.2,101.09,79.88,1.0,0.65,20.55,114.91,31.37,22.85,25.2,0.66,27.2,0.66,10.87,2.01
ARH1_2016,20160613,17.21,22.72,100.77,77.25,1.52,0.66,27.46,149.54,32.59,23.06,25.09,0.66,27.47,0.66,27.84,3.01
ARH1_2016,20160614,17.94,23.31,100.45,84.12,2.54,0.66,14.38,84.71,30.99,22.61,24.87,0.66,26.43,0.66,5.57,4.77
ARH1_2016,20160615,18.86,24.18,100.6,79.81,2.25,0.66,22.24,122.96,33.46,24.51,26.27,0.66,28.36,0.66,15.06,3.64
ARH1_2016,20160616,18.92,24.21,100.61,77.25,1.9,0.64,28.13,151.48,34.7,23.98,26.62,0.66,29.03,0.65,29.59,0.17
ARH1_2016,20160617,19.1,24.35,100.56,77.38,2.25,0.67,23.52,130.43,33.81,24.8,26.69,0.66,29.02,0.65,18.55,6.6
ARH1_2016,20160618,15.5,21.05,101.01,70.75,2.54,0.63,26.79,142.77,32.8,22.19,24.26,0.66,27.45,0.65,28.65,0.08
ARH1_2016,20160619,16.11,21.73,101.49,72.31,2.7,0.62,25.0,137.28,32.83,22.66,24.66,0.65,27.59,0.64,24.3,0.67
ARH1_2016,20160620,15.5,21.15,101.56,68.0,1.87,0.6,24.9,137.48,33.94,22.73,24.7,0.64,28.26,0.63,23.82,0.07
ARH1_2016,20160621,16.11,21.71,101.16,67.38,1.71,0.59,25.85,140.19,34.98,22.61,25.37,0.63,29.02,0.62,22.96,0.0
ARH1_2016,20160622,17.33,22.83,100.94,68.38,2.56,0.59,26.56,144.3,35.55,24.19,26.36,0.62,29.89,0.62,25.22,0.0
ARH1_2016,20160623,17.21,22.7,100.92,66.94,2.73,0.58,28.14,153.98,35.41,25.15,26.38,0.62,30.05,0.62,30.5,0.0
ARH1_2016,20160624,17.03,22.56,100.97,67.38,2.02,0.58,25.35,139.72,33.84,24.82,26.14,0.61,29.72,0.61,21.97,0.04
ARH1_2016,20160625,15.56,21.06,101.05,61.25,1.41,0.57,26.99,146.78,36.73,24.04,25.66,0.61,30.26,0.6,27.73,0.0
ARH1_2016,20160626,15.93,21.46,101.12,60.12,1.02,0.59,26.29,143.57,36.31,24.4,26.18,0.6,30.9,0.6,25.89,3.31
ARH1_2016,20160627,17.21,22.69,101.03,72.5,1.59,0.6,18.95,106.93,33.58,24.44,25.65,0.6,28.62,0.6,9.55,6.34
