Env,Year,GermplasmId,Value,k
Albany_MO_2017,2017,CR145524,66.7,CR145524
Albany_MO_2017,2017,CR146116,53.5,CR146116
Albany_MO_2017,2017,CR147814,64.5,CR147814
Albany_MO_2017,2017,CR147839,57.2,CR147839
Albany_MO_2017,2017,CR147881,62.7,CR147881
Albany_MO_2017,2017,DSN11-03004,66.3,DSN1103004
Albany_MO_2017,2017,DSN11-03174,72.0,DSN1103174
Albany_MO_2017,2017,DSN11-06152,55.2,DSN1106152
Albany_MO_2017,2017,DSN11-10057,66.8,DSN1110057
Albany_MO_2017,2017,DSN11-27183,63.1,DSN1127183
Albany_MO_2017,2017,HM11-G023,66.4,HM11G023
Albany_MO_2017,2017,HM11-H015,59.5,HM11H015
Albany_MO_2017,2017,HM11-H016,61.6,HM11H016
Albany_MO_2017,2017,HM11-W193,71.3,HM11W193
Albany_MO_2017,2017,HM13-S062,71.5,HM13S062
Albany_MO_2017,2017,HM14-C033,60.2,HM14C033
Albany_MO_2017,2017,HM14-E042,60.7,HM14E042
Albany_MO_2017,2017,HM14-E087,59.0,HM14E087
Albany_MO_2017,2017,HM14-F042,72.2,HM14F042
Albany_MO_2017,2017,HM14-W132,65.6,HM14W132
Albany_MO_2017,2017,HM14-W146,62.3,HM14W146
Albany_MO_2017,2017,K14-1094,72.7,K141094
Albany_MO_2017,2017,K14-1153,67.3,K141153
Albany_MO_2017,2017,K14-1358,61.7,K141358
Albany_MO_2017,2017,K15-1008,67.4,K151008
Albany_MO_2017,2017,K15-1039,70.3,K151039
Albany_MO_2017,2017,K15-1043,71.7,K151043
Albany_MO_2017,2017,K15-1278,62.4,K151278
Albany_MO_2017,2017,K15-1279,63.2,K151279
Albany_MO_2017,2017,K15-1283,66.9,K151283
Albany_MO_2017,2017,K15-1294,65.3,K151294
Albany_MO_2017,2017,K15-1303,66.5,K151303
Albany_MO_2017,2017,K15-1307,71.1,K151307
Albany_MO_2017,2017,K15-1310,69.1,K151310
Albany_MO_2017,2017,LD06-7620,71.86666666666666,LD067620
Albany_MO_2017,2017,LD07-3395bf,72.08571428571429,LD073395BF
Albany_MO_2017,2017,LD11-2170,70.7,LD112170
Albany_MO_2017,2017,LD13-14525R2,67.0,LD1314525R2
Albany_MO_2017,2017,LD13-3483,59.9,LD133483
Albany_MO_2017,2017,LD13-5775a,53.9,LD135775A
Albany_MO_2017,2017,LD13-8769,68.8,LD138769
Albany_MO_2017,2017,LD14-1167,73.0,LD141167
Albany_MO_2017,2017,LD14-14172R2,70.8,LD1414172R2
Albany_MO_2017,2017,LD14-1429,76.8,LD141429
Albany_MO_2017,2017,LD14-14308R2,64.5,LD1414308R2
Albany_MO_2017,2017,LD14-2880,60.6,LD142880
Albany_MO_2017,2017,LD14-3090,78.6,LD143090
Albany_MO_2017,2017,LD14-3218,80.9,LD143218
Albany_MO_2017,2017,LD14-3340,82.7,LD143340
Albany_MO_2017,2017,LD14-3698,62.7,LD143698
Albany_MO_2017,2017,LD14-3702,76.8,LD143702
Albany_MO_2017,2017,LD14-5353a,77.0,LD145353A
Albany_MO_2017,2017,LD14-6190,66.3,LD146190
Albany_MO_2017,2017,LD14-6444,72.2,LD146444
Albany_MO_2017,2017,LD14-6763,66.0,LD146763
Albany_MO_2017,2017,LD14-6766,72.4,LD146766
Albany_MO_2017,2017,LD14-6796,66.8,LD146796
Albany_MO_2017,2017,LG13-1257,75.3,LG131257
Albany_MO_2017,2017,LG13-3993,69.9,LG133993
Albany_MO_2017,2017,LG14-6165,61.8,LG146165
Albany_MO_2017,2017,LG14-6201,74.3,LG146201
Albany_MO_2017,2017,LG14-7959,64.2,LG147959
Albany_MO_2017,2017,LG14-8024,71.2,LG148024
Albany_MO_2017,2017,LG15-2049,65.6,LG152049
Albany_MO_2017,2017,LG15-2136,74.4,LG152136
Albany_MO_2017,2017,LG15-2214,77.6,LG152214
Albany_MO_2017,2017,LG15-2224,65.1,LG152224
Albany_MO_2017,2017,LG15-4418,70.3,LG154418
Albany_MO_2017,2017,S13-2743C,69.2,S132743C
Albany_MO_2017,2017,S14-8943R,67.4,S148943R
Albany_MO_2017,2017,S15-2702,73.5,S152702
Albany_MO_2017,2017,S15-7499,63.4,S157499
Albany_MO_2017,2017,SA12-1451,76.6,SA121451
Albany_MO_2017,2017,SA12-1455,65.6,SA121455
Albany_MO_2017,2017,SA13-1310,60.2,SA131310
Albany_MO_2017,2017,SA13-1363,56.6,SA131363
Albany_MO_2017,2017,SA13-1385,64.2,SA131385
Albany_MO_2017,2017,SA13-1464,62.7,SA131464
Albany_MO_2017,2017,SA13-2047,60.7,SA132047
Albany_MO_2017,2017,SA13-2489,60.8,SA132489
Albany_MO_2017,2017,SA13-2494,78.6,SA132494
Albany_MO_2017,2017,SA13-2699,62.2,SA132699
Albany_MO_2017,2017,SA13-3135,55.0,SA133135
Albany_MO_2017,2017,SA13-4268RR,72.2,SA134268RR
Albany_MO_2017,2017,SA13-4420RR,71.7,SA134420RR
Albany_MO_2017,2017,SA13-4434RR,66.5,SA134434RR
Albany_MO_2017,2017,SA14-5754,60.3,SA145754
Albany_MO_2017,2017,SA14-5854,65.0,SA145854
Albany_MO_2017,2017,SA14-5893,80.5,SA145893
Albany_MO_2017,2017,SA14-9653,81.3,SA149653
Albany_MO_2017,2017,SA14-9742,70.2,SA149742
Albany_MO_2017,2017,U11-920017,69.5,U11920017
Albany_MO_2017,2017,U12-428210,65.8,U12428210
Albany_MO_2017,2017,U13-231286,63.8,U13231286
Albany_MO_2017,2017,U13-931068,58.1,U13931068
Albany_MO_2017,2017,U14-210241,77.6,U14210241
Albany_MO_2017,2017,U14-211209,81.1,U14211209
Albany_MO_2017,2017,U14-211226,77.9,U14211226
Albany_MO_2017,2017,U14-212231,80.4,U14212231
Albany_MO_2017,2017,U14-218219,79.5,U14218219
Albany_MO_2017,2017,U14-219257,86.3,U14219257
Albany_MO_2017,2017,U14-223230,75.4,U14223230
Albany_MO_2017,2017,U14-319013,72.9,U14319013
Albany_MO_2017,2017,U14-319038,72.6,U14319038
Albany_MO_2017,2017,U14-320041,84.4,U14320041
Albany_MO_2017,2017,U14-321026,85.5,U14321026
Albany_MO_2017,2017,U14-322043,85.5,U14322043
Albany_MO_2017,2017,U14-605217,70.1,U14605217
Albany_MO_2017,2017,U14-924158,61.2,U14924158
Albany_MO_2017,2017,U15-606207,86.1,U15606207
Albany_MO_2017,2017,U15-613163,82.9,U15613163
Albany_MO_2017,2017,U15-908119,83.6,U15908119
Albany_MO_2019,2019,AR18-281070,61.15,AR18281070
Albany_MO_2019,2019,AR18-381003,56.15,AR18381003
Albany_MO_2019,2019,AR18-381009,63.9,AR18381009
Albany_MO_2019,2019,AR18-381036,66.8,AR18381036
Albany_MO_2019,2019,AR18-381042,68.9,AR18381042
Albany_MO_2019,2019,AR18-381044,68.95,AR18381044
Albany_MO_2019,2019,AR18-381046,58.2,AR18381046
Albany_MO_2019,2019,CR14-5524,75.6,CR145524
Albany_MO_2019,2019,CR14-6116,64.13,CR146116
Albany_MO_2019,2019,CR14-7871,70.9,CR147871
Albany_MO_2019,2019,CR15-0616,73.07,CR150616
Albany_MO_2019,2019,CR15-0619,71.83,CR150619
Albany_MO_2019,2019,CR15-0636,70.93,CR150636
Albany_MO_2019,2019,CR15-1369,78.4,CR151369
Albany_MO_2019,2019,CR15-1382,69.9,CR151382
Albany_MO_2019,2019,CR15-1385,78.83,CR151385
Albany_MO_2019,2019,CR15-2775,58.43,CR152775
Albany_MO_2019,2019,CR16-0008,58.15,CR160008
Albany_MO_2019,2019,CR16-0011,77.5,CR160011
Albany_MO_2019,2019,CR16-0014,78.15,CR160014
Albany_MO_2019,2019,CR16-0016,77.25,CR160016
Albany_MO_2019,2019,CR16-0020,61.9,CR160020
Albany_MO_2019,2019,CR16-0023,57.8,CR160023
Albany_MO_2019,2019,CR16-0024,68.3,CR160024
Albany_MO_2019,2019,CR16-0025,59.35,CR160025
Albany_MO_2019,2019,CR16-0027,66.1,CR160027
Albany_MO_2019,2019,CR16-0029,64.1,CR160029
Albany_MO_2019,2019,CR16-0030,77.85,CR160030
Albany_MO_2019,2019,CR16-0031,80.75,CR160031
Albany_MO_2019,2019,CR16-0032,68.85,CR160032
Albany_MO_2019,2019,CR16-0033,69.65,CR160033
Albany_MO_2019,2019,CR16-0035,66.55,CR160035
Albany_MO_2019,2019,CR16-0037,68.45,CR160037
Albany_MO_2019,2019,CR16-0042,69.55,CR160042
Albany_MO_2019,2019,CR16-0053,64.25,CR160053
Albany_MO_2019,2019,CR16-0067,51.9,CR160067
Albany_MO_2019,2019,CR16-0106,67.65,CR160106
Albany_MO_2019,2019,CR16-0107,67.0,CR160107
Albany_MO_2019,2019,CR16-0110,74.2,CR160110
Albany_MO_2019,2019,CR16-0112,73.3,CR160112
Albany_MO_2019,2019,CR16-0113,76.05,CR160113
Albany_MO_2019,2019,CR16-0116,84.4,CR160116
Albany_MO_2019,2019,CR16-0117,85.45,CR160117
Albany_MO_2019,2019,CR16-0120,75.05,CR160120
Albany_MO_2019,2019,CR16-0124,69.15,CR160124
Albany_MO_2019,2019,CR16-0125,74.8,CR160125
Albany_MO_2019,2019,CR16-0129,67.7,CR160129
Albany_MO_2019,2019,CR16-0130,64.85,CR160130
Albany_MO_2019,2019,CR16-0153,75.95,CR160153
Albany_MO_2019,2019,CR16-0154,77.15,CR160154
Albany_MO_2019,2019,CR16-0155,62.1,CR160155
Albany_MO_2019,2019,CR16-0156,75.8,CR160156
Albany_MO_2019,2019,HM16-L079,58.95,HM16L079
Albany_MO_2019,2019,HM16-L084,52.7,HM16L084
Albany_MO_2019,2019,HM16-M006,55.0,HM16M006
Albany_MO_2019,2019,HM16-M016,67.5,HM16M016
Albany_MO_2019,2019,HM16-M019,51.5,HM16M019
Albany_MO_2019,2019,K15-1283,73.23,K151283
Albany_MO_2019,2019,K16-1045,70.0,K161045
Albany_MO_2019,2019,K16-1071,71.25,K161071
Albany_MO_2019,2019,K16-1076,66.35,K161076
Albany_MO_2019,2019,K16-1211,67.9,K161211
Albany_MO_2019,2019,K16-1222,70.0,K161222
Albany_MO_2019,2019,K16-1229,72.75,K161229
Albany_MO_2019,2019,K16-1706,70.6,K161706
Albany_MO_2019,2019,K4117Nsgr,73.7,K4117NSGR
Albany_MO_2019,2019,LD00-2817,76.45666666666666,LD002817
Albany_MO_2019,2019,LD06-7620,73.79,LD067620
Albany_MO_2019,2019,LD07-3395bf,76.63571428571429,LD073395BF
Albany_MO_2019,2019,LD11-2170,71.7075,LD112170
Albany_MO_2019,2019,LD15-3818,76.9,LD153818
Albany_MO_2019,2019,LD15-5776793,81.37,LD155776793
Albany_MO_2019,2019,LD15-5782791,78.43,LD155782791
Albany_MO_2019,2019,LD15-5789800,79.43,LD155789800
Albany_MO_2019,2019,LD15-6762,72.7,LD156762
Albany_MO_2019,2019,LD16- 759,66.75,LD16759
Albany_MO_2019,2019,LD16-10165,59.55,LD1610165
Albany_MO_2019,2019,LD16-10183,62.9,LD1610183
Albany_MO_2019,2019,LD16-10310,69.55,LD1610310
Albany_MO_2019,2019,LD16-10319,62.8,LD1610319
Albany_MO_2019,2019,LD16-10351,57.75,LD1610351
Albany_MO_2019,2019,LD16-2636,63.45,LD162636
Albany_MO_2019,2019,LD16-2751,72.05,LD162751
Albany_MO_2019,2019,LD16-2794,54.35,LD162794
Albany_MO_2019,2019,LD16-2923,57.4,LD162923
Albany_MO_2019,2019,LD16-2983,57.95,LD162983
Albany_MO_2019,2019,LD16-3589,65.15,LD163589
Albany_MO_2019,2019,LD16-5075a,58.4,LD165075A
Albany_MO_2019,2019,LD17-12201,62.6,LD1712201
Albany_MO_2019,2019,LD17-12352,78.55,LD1712352
Albany_MO_2019,2019,LD17-12668,71.6,LD1712668
Albany_MO_2019,2019,LD17-12679,62.35,LD1712679
Albany_MO_2019,2019,LD17-12708,63.7,LD1712708
Albany_MO_2019,2019,LD17-12986,63.75,LD1712986
Albany_MO_2019,2019,LG15-4348,69.0,LG154348
Albany_MO_2019,2019,LG15-4491,72.1,LG154491
Albany_MO_2019,2019,LG16-2547,66.75,LG162547
Albany_MO_2019,2019,LG16-3733,61.7,LG163733
Albany_MO_2019,2019,LG16-4634,81.3,LG164634
Albany_MO_2019,2019,LG16-4642,73.03,LG164642
Albany_MO_2019,2019,LG16-4644,67.5,LG164644
Albany_MO_2019,2019,LG16-4655,70.17,LG164655
Albany_MO_2019,2019,LG16-4808,80.4,LG164808
Albany_MO_2019,2019,LG17-5436,72.1,LG175436
Albany_MO_2019,2019,LG17-5672,63.3,LG175672
Albany_MO_2019,2019,LG17-5674,64.9,LG175674
Albany_MO_2019,2019,LG17-5693,63.65,LG175693
Albany_MO_2019,2019,LG17-5869,60.75,LG175869
Albany_MO_2019,2019,LG17-8693,71.55,LG178693
Albany_MO_2019,2019,LG17-8880,68.7,LG178880
Albany_MO_2019,2019,LG17-8885,73.1,LG178885
Albany_MO_2019,2019,LG17-8888,64.85,LG178888
Albany_MO_2019,2019,S13-2743C,79.77,S132743C
Albany_MO_2019,2019,S15-10879C,71.1,S1510879C
Albany_MO_2019,2019,S15-6047R,68.95,S156047R
Albany_MO_2019,2019,S16-14161C,67.1,S1614161C
Albany_MO_2019,2019,S16-9784C,69.63,S169784C
Albany_MO_2019,2019,SA13-1385,72.1,SA131385
Albany_MO_2019,2019,SA14-5854,73.43,SA145854
Albany_MO_2019,2019,SA14-9653,79.97,SA149653
Albany_MO_2019,2019,SA16-10349,69.15,SA1610349
Albany_MO_2019,2019,SA16-10735,83.25,SA1610735
Albany_MO_2019,2019,SA16-11227,79.1,SA1611227
Albany_MO_2019,2019,SA16-11831,54.05,SA1611831
Albany_MO_2019,2019,SA16-12014,65.55,SA1612014
Albany_MO_2019,2019,SA16-12348,69.85,SA1612348
Albany_MO_2019,2019,SA16-12472,69.4,SA1612472
Albany_MO_2019,2019,SA16-12491,70.5,SA1612491
Albany_MO_2019,2019,SA16-12880,62.05,SA1612880
Albany_MO_2019,2019,SA16-1961,63.2,SA161961
Albany_MO_2019,2019,SA16-2194,62.65,SA162194
Albany_MO_2019,2019,SA16-30116,61.7,SA1630116
Albany_MO_2019,2019,SA17-11294,47.8,SA1711294
Albany_MO_2019,2019,SA17-11463,62.8,SA1711463
Albany_MO_2019,2019,SA17-11700,60.15,SA1711700
Albany_MO_2019,2019,SA17-13516,60.9,SA1713516
Albany_MO_2019,2019,SA17-5483,64.25,SA175483
Albany_MO_2019,2019,SA17-5523,69.75,SA175523
Albany_MO_2019,2019,SA17-5563,70.3,SA175563
Albany_MO_2019,2019,SA17-5568,72.0,SA175568
Albany_MO_2019,2019,SA17-5569,75.05,SA175569
Albany_MO_2019,2019,SA17-5585,70.95,SA175585
Albany_MO_2019,2019,SA17-5753,59.7,SA175753
Albany_MO_2019,2019,SA17-5771,59.7,SA175771
Albany_MO_2019,2019,SA17-5776,61.8,SA175776
Albany_MO_2019,2019,SA17-5792,49.85,SA175792
Albany_MO_2019,2019,SA17-5797,52.35,SA175797
Albany_MO_2019,2019,SA17-6259,53.75,SA176259
Albany_MO_2019,2019,SA17-7283,53.3,SA177283
Albany_MO_2019,2019,SA17-749PR,57.45,SA17749PR
Albany_MO_2019,2019,SA17-8035,66.8,SA178035
Albany_MO_2019,2019,SA17-8882,70.55,SA178882
Albany_MO_2019,2019,U14-211209,83.27,U14211209
Albany_MO_2019,2019,U14-605217,75.13,U14605217
Albany_MO_2019,2019,U14-910097,69.8075,U14910097
Albany_MO_2019,2019,U14-924158,77.47,U14924158
Albany_MO_2019,2019,U15-322139,70.77,U15322139
Albany_MO_2019,2019,U15-322140,84.0,U15322140
Albany_MO_2019,2019,U15-606207,64.93,U15606207
Albany_MO_2019,2019,U16-323153,59.6,U16323153
Albany_MO_2019,2019,U16-323177,63.85,U16323177
Albany_MO_2019,2019,U16-324189,61.25,U16324189
Albany_MO_2019,2019,U16-325193,68.15,U16325193
Albany_MO_2019,2019,U16-326197,58.5,U16326197
Albany_MO_2019,2019,U16-609052,71.47,U16609052
Albany_MO_2019,2019,U16-610065,77.07,U16610065
Albany_MO_2019,2019,U16-902058,77.2,U16902058
Albany_MO_2019,2019,U16-903131,76.93,U16903131
Albany_MO_2019,2019,U16-914101,69.53,U16914101
Albany_MO_2019,2019,U16-928123,86.07,U16928123
Albany_MO_2019,2019,U17-602177,64.2,U17602177
Albany_MO_2019,2019,U17-602199,70.7,U17602199
Albany_MO_2019,2019,U17-602213,44.4,U17602213
Albany_MO_2019,2019,U17-603165,67.2,U17603165
Albany_MO_2019,2019,U17-606129,62.2,U17606129
Albany_MO_2019,2019,U17-607173,61.6,U17607173
Albany_MO_2019,2019,U17-608196,66.9,U17608196
Albany_MO_2019,2019,U17-611078,54.05,U17611078
Albany_MO_2019,2019,U17-616162,61.3,U17616162
Albany_MO_2019,2019,U17-929069,62.7,U17929069
Ames_IA_2004,2004,Apex,47.7,APEX
Ames_IA_2004,2004,E01205,65.1,E01205
Ames_IA_2004,2004,HS1-3717,63.4,HS13717
Ames_IA_2004,2004,IA1008,53.55,IA1008
Ames_IA_2004,2004,IA2068,58.8,IA2068
Ames_IA_2004,2004,IA3023,73.7,IA3023
Ames_IA_2004,2004,LD00-1938,55.0,LD001938
Ames_IA_2004,2004,LD00-4970,62.4,LD004970
Ames_IA_2004,2004,LG00-6304,62.7,LG006304
Ames_IA_2004,2004,LG00-8298,65.5,LG008298
Ames_IA_2004,2004,LG01-2617,62.3,LG012617
Ames_IA_2004,2004,LG01-4067,56.3,LG014067
Ames_IA_2004,2004,LG01-4178,61.3,LG014178
Ames_IA_2004,2004,LG01-4918,73.5,LG014918
Ames_IA_2004,2004,Lambert,47.3,LAMBERT
Ames_IA_2004,2004,M96-385063,50.9,M96385063
Ames_IA_2004,2004,M97-130015,56.7,M97130015
Ames_IA_2004,2004,M97-357138,60.2,M97357138
Ames_IA_2004,2004,M98-227065,60.4,M98227065
Ames_IA_2004,2004,M98-254049,59.1,M98254049
Ames_IA_2004,2004,M98-267068,50.5,M98267068
Ames_IA_2004,2004,M98-346081,56.3,M98346081
Ames_IA_2004,2004,Macon,72.2,MACON
Ames_IA_2004,2004,ORC0302,61.0,ORC0302
Ames_IA_2004,2004,Pana,58.8,PANA
Ames_IA_2004,2004,Parker,52.8,PARKER
Ames_IA_2004,2004,SD96-135-3,51.2,SD961353
Ames_IA_2004,2004,U01-190271,46.9,U01190271
Ames_IA_2004,2004,U01-190300,58.9,U01190300
Ames_IA_2004,2004,U01-190307,61.8,U01190307
Ames_IA_2004,2004,U01-190311,65.3,U01190311
Ames_IA_2004,2004,U01-190318,59.6,U01190318
Ames_IA_2004,2004,U01-190319,58.2,U01190319
Ames_IA_2004,2004,U01-190324,52.3,U01190324
Ames_IA_2004,2004,U01-290401,53.5,U01290401
Ames_IA_2004,2004,U01-290680,61.9,U01290680
Ames_IA_2004,2004,U01-290681,61.8,U01290681
Ames_IA_2004,2004,U01-290820,54.1,U01290820
Ames_IA_2004,2004,U01-290931,60.1,U01290931
Ames_IA_2004,2004,U01-291039,58.3,U01291039
Ames_IA_2004,2004,U01-291048,58.5,U01291048
Ames_IA_2004,2004,U01-310412,58.9,U01310412
Ames_IA_2004,2004,U01-390127,56.7,U01390127
Ames_IA_2004,2004,U01-390157,58.2,U01390157
Ames_IA_2004,2004,U01-390159,57.3,U01390159
Ames_IA_2004,2004,U01-390224,62.9,U01390224
Ames_IA_2004,2004,U01-390274,54.2,U01390274
Ames_IA_2004,2004,U01-390489,63.8,U01390489
Ames_IA_2004,2004,U01-390495,52.5,U01390495
Ames_IA_2004,2004,U01-390496,56.4,U01390496
Ames_IA_2004,2004,U01-390504,64.3,U01390504
Ames_IA_2004,2004,U01-390511,66.6,U01390511
Ames_IA_2004,2004,U01-390517,49.0,U01390517
Ames_IA_2004,2004,U01-390553,50.8,U01390553
Ames_IA_2004,2004,U01-390560,61.9,U01390560
Ames_IA_2004,2004,U01-390637,61.2,U01390637
Ames_IA_2004,2004,U01-390701,63.0,U01390701
Ames_IA_2004,2004,U01-390783,58.4,U01390783
Ames_IA_2004,2004,U01-390784,72.6,U01390784
Ames_IA_2004,2004,U01-390787,68.8,U01390787
Ames_IA_2004,2004,U01-390794,64.2,U01390794
Ames_IA_2004,2004,U99-035014,68.2,U99035014
Ames_IA_2005,2005,HF02-0005,62.3,HF020005
Ames_IA_2005,2005,HF03-534,76.3,HF03534
Ames_IA_2005,2005,HFPR-3,72.9,HFPR3
Ames_IA_2005,2005,HFPR-5,73.6,HFPR5
Ames_IA_2005,2005,HS3-2523,74.3,HS32523
Ames_IA_2005,2005,HS3-2840,68.2,HS32840
Ames_IA_2005,2005,IA1008,62.3,IA1008
Ames_IA_2005,2005,IA2068,71.0,IA2068
Ames_IA_2005,2005,IA3023,77.6,IA3023
Ames_IA_2005,2005,K03-2839,70.4,K032839
Ames_IA_2005,2005,K03-3582,59.1,K033582
Ames_IA_2005,2005,K03-4142,68.0,K034142
Ames_IA_2005,2005,K03-4146,77.9,K034146
Ames_IA_2005,2005,K03-4150,77.2,K034150
Ames_IA_2005,2005,K03-4156,71.8,K034156
Ames_IA_2005,2005,K03-4157,79.5,K034157
Ames_IA_2005,2005,LD02-5025,74.4,LD025025
Ames_IA_2005,2005,LG01-4758,81.3,LG014758
Ames_IA_2005,2005,Lambert,38.0,LAMBERT
Ames_IA_2005,2005,M00-110014,61.5,M00110014
Ames_IA_2005,2005,M00-110060,63.6,M00110060
Ames_IA_2005,2005,M97-130015,65.1,M97130015
Ames_IA_2005,2005,M97-357138,62.9,M97357138
Ames_IA_2005,2005,M98-227065,67.0,M98227065
Ames_IA_2005,2005,M99-246012,61.1,M99246012
Ames_IA_2005,2005,M99-246068,68.2,M99246068
Ames_IA_2005,2005,M99-278256,51.0,M99278256
Ames_IA_2005,2005,Macon,69.8,MACON
Ames_IA_2005,2005,Parker,46.5,PARKER
Ames_IA_2005,2005,SD02-1043,59.1,SD021043
Ames_IA_2005,2005,SD02-14,65.3,SD0214
Ames_IA_2005,2005,SD02-22,71.8,SD0222
Ames_IA_2005,2005,SD02-906,67.0,SD02906
Ames_IA_2005,2005,SD02-923,64.3,SD02923
Ames_IA_2005,2005,SD02-96,63.6,SD0296
Ames_IA_2005,2005,U00-409006,53.9,U00409006
Ames_IA_2005,2005,U01-190300,62.9,U01190300
Ames_IA_2005,2005,U01-190311,67.3,U01190311
Ames_IA_2005,2005,U01-190318,65.1,U01190318
Ames_IA_2005,2005,U01-290401,56.6,U01290401
Ames_IA_2005,2005,U01-290680,56.7,U01290680
Ames_IA_2005,2005,U01-290931,62.1,U01290931
Ames_IA_2005,2005,U01-291039,67.3,U01291039
Ames_IA_2005,2005,U01-390224,64.0,U01390224
Ames_IA_2005,2005,U01-390489,79.5,U01390489
Ames_IA_2005,2005,U01-390504,66.8,U01390504
Ames_IA_2005,2005,U01-390511,73.5,U01390511
Ames_IA_2005,2005,U01-390517,60.3,U01390517
Ames_IA_2005,2005,U01-390560,56.2,U01390560
Ames_IA_2005,2005,U01-390787,78.9,U01390787
Ames_IA_2005,2005,U01-390794,63.1,U01390794
Ames_IA_2005,2005,U02-200106,55.9,U02200106
Ames_IA_2005,2005,U02-200629,66.3,U02200629
Ames_IA_2005,2005,U02-204506,60.7,U02204506
Ames_IA_2005,2005,U02-205111,72.2,U02205111
Ames_IA_2005,2005,U02-205137,71.9,U02205137
Ames_IA_2005,2005,U02-210123,81.4,U02210123
Ames_IA_2005,2005,U02-210423,69.4,U02210423
Ames_IA_2005,2005,U02-210455,76.4,U02210455
Ames_IA_2005,2005,U02-241130,73.2,U02241130
Ames_IA_2005,2005,U02-242017,68.6,U02242017
Ames_IA_2005,2005,U02-242055,63.1,U02242055
Ames_IA_2005,2005,U02-300437,80.5,U02300437
Ames_IA_2005,2005,U02-300452,80.1,U02300452
Ames_IA_2005,2005,U02-300455,72.4,U02300455
Ames_IA_2005,2005,U02-300463,72.3,U02300463
Ames_IA_2005,2005,U02-341439,72.7,U02341439
Ames_IA_2005,2005,U02-341446,80.2,U02341446
Ames_IA_2005,2005,U02-341563,76.9,U02341563
Ames_IA_2007,2007,E05012,26.3,E05012
Ames_IA_2007,2007,E05030,31.6,E05030
Ames_IA_2007,2007,E05053,38.6,E05053
Ames_IA_2007,2007,E05087,41.8,E05087
